Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Cory Joseph,2.5,5.7,0.8,1.1,0.7,2.3,2.5,0.9,0.2,1.0,6.6,21.5,44.0,PG,,['PG']
Cory Joseph,4.7,9.3,1.9,2.2,0.7,3.2,5.5,1.2,0.5,1.8,12.0,26.4,19.0,PG,,['PG']
Sterling Brown,2.9,6.6,0.5,0.6,1.8,4.4,1.4,0.7,0.2,0.8,8.2,24.1,51.0,SG,,['SG']
Aleksej Pokusevski,3.1,9.1,0.7,0.9,1.3,4.7,2.2,0.4,0.9,2.2,8.2,24.2,45.0,PF,,['PF']
Nicolas Batum,2.9,6.1,0.7,0.9,1.6,4.7,2.2,1.0,0.6,0.8,8.1,27.4,67.0,SF,,['SF']
JaMychal Green,3.0,6.4,0.8,1.0,1.4,4.8,0.9,0.4,0.4,0.9,8.1,19.3,58.0,PF,,['PF']
Hassan Whiteside,3.5,6.2,1.1,2.2,0.0,6.0,0.6,0.3,1.3,1.1,8.1,15.2,36.0,C,,['C']
Mo Bamba,3.1,6.5,1.0,1.4,0.8,5.8,0.8,0.3,1.3,0.8,8.0,15.8,46.0,C,,['C']
Tyrese Maxey,3.2,7.0,1.0,1.1,0.5,1.7,2.0,0.4,0.2,0.7,8.0,15.3,61.0,SG,,['SG']
Kenrich Williams,3.3,6.2,0.5,1.0,0.8,4.1,2.3,0.8,0.3,1.2,8.0,21.6,66.0,PF,,['PF']
Robert Williams,3.6,5.0,0.9,1.4,0.0,6.9,1.8,0.8,1.8,1.0,8.0,18.9,52.0,C,,['C']
Austin Rivers,2.9,6.8,0.6,0.9,1.5,2.3,2.3,0.8,0.1,1.0,7.9,23.5,36.0,SG,,['SG']
Austin Rivers,2.8,6.4,0.5,0.7,1.3,2.2,2.0,0.6,0.0,1.0,7.3,21.0,21.0,SG,,['SG']
Austin Rivers,3.1,7.3,0.8,1.1,1.8,2.3,2.6,1.2,0.1,0.9,8.7,26.9,15.0,SG,,['SG']
Isaiah Stewart,3.3,6.0,0.9,1.4,0.3,6.7,0.9,0.6,1.3,1.0,7.9,21.4,68.0,C,,['C']
