Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Stephen Curry,10.4,21.7,5.7,6.3,5.3,5.5,5.8,1.2,0.1,3.4,32.0,34.2,63.0,PG,,['PG']
Bradley Beal,11.2,23.0,6.8,7.7,2.2,4.7,4.4,1.2,0.4,3.1,31.3,35.8,60.0,SG,,['SG']
Damian Lillard,9.0,19.9,6.7,7.2,4.1,4.2,7.5,0.9,0.3,3.0,28.8,35.8,67.0,PG,,['PG']
Joel Embiid,9.0,17.6,9.2,10.7,1.1,10.6,2.8,1.0,1.4,3.1,28.5,31.1,51.0,C,,['C']
Giannis Antetokounmpo,10.3,18.0,6.5,9.5,1.1,11.0,5.9,1.2,1.2,3.4,28.1,33.0,61.0,PF,,['PF']
Luka DonÄiÄ,9.8,20.5,5.2,7.1,2.9,8.0,8.6,1.0,0.5,4.3,27.7,34.3,66.0,PG,,['PG']
Zach LaVine,9.8,19.4,4.4,5.1,3.4,5.0,4.9,0.8,0.5,3.5,27.4,35.1,58.0,SG,,['SG']
Zion Williamson,10.4,17.0,6.0,8.7,0.2,7.2,3.7,0.9,0.6,2.7,27.0,33.2,61.0,PF,,['PF']
Kevin Durant,9.3,17.2,6.0,6.8,2.4,7.1,5.6,0.7,1.3,3.4,26.9,33.1,35.0,PF,,['PF']
Kyrie Irving,10.2,20.1,3.7,4.0,2.8,4.8,6.0,1.4,0.7,2.4,26.9,34.9,54.0,PG,,['PG']
Nikola JokiÄ,10.2,18.0,4.8,5.5,1.3,10.8,8.3,1.3,0.7,3.1,26.4,34.6,72.0,C,,['C']
Donovan Mitchell,9.0,20.6,5.0,6.0,3.4,4.4,5.2,1.0,0.3,2.8,26.4,33.4,53.0,PG,,['PG']
Jayson Tatum,9.5,20.6,4.6,5.3,2.9,7.4,4.3,1.2,0.5,2.7,26.4,35.8,64.0,SF,,['SF']
Devin Booker,9.3,19.2,5.1,5.9,1.9,4.2,4.3,0.8,0.2,3.1,25.6,33.9,67.0,SG,,['SG']
Trae Young,7.7,17.7,7.7,8.7,2.2,3.9,9.4,0.8,0.2,4.1,25.3,33.7,63.0,PG,,['PG']
De'Aaron Fox,9.1,19.1,5.2,7.2,1.8,3.5,7.2,1.5,0.5,3.0,25.2,35.1,58.0,PG,,['PG']
LeBron James,9.4,18.3,4.0,5.7,2.3,7.7,7.8,1.1,0.6,3.7,25.0,33.4,45.0,PG,,['PG']
Kawhi Leonard,8.9,17.5,5.0,5.7,1.9,6.5,5.2,1.6,0.4,2.0,24.8,34.1,52.0,SF,,['SF']
Karl-Anthony Towns,8.5,17.5,5.3,6.2,2.4,10.6,4.5,0.8,1.1,3.2,24.8,33.8,50.0,C,,['C']
Jaylen Brown,9.3,19.2,3.3,4.3,2.8,6.0,3.4,1.2,0.6,2.7,24.7,34.5,58.0,SG,,['SG']
James Harden,7.8,16.7,6.3,7.3,2.8,7.9,10.8,1.2,0.8,4.0,24.6,36.6,44.0,PG,,['PG']
James Harden,7.5,16.9,6.6,7.5,3.1,5.1,10.4,0.9,0.8,4.3,24.8,36.3,8.0,PG,,['PG']
James Harden,7.8,16.6,6.3,7.3,2.7,8.5,10.9,1.3,0.8,4.0,24.6,36.6,36.0,PG,,['PG']
Collin Sexton,8.8,18.4,5.2,6.4,1.6,3.1,4.4,1.0,0.2,2.8,24.3,35.3,60.0,SG,,['SG']
Julius Randle,8.5,18.6,4.9,6.0,2.3,10.2,6.0,0.9,0.3,3.4,24.1,37.6,71.0,PF,,['PF']
Brandon Ingram,8.4,18.0,4.6,5.2,2.3,4.9,4.9,0.7,0.6,2.5,23.8,34.3,61.0,SF,,['SF']
Shai Gilgeous-Alexander,8.2,16.1,5.3,6.5,2.0,4.7,5.9,0.8,0.7,3.0,23.7,33.7,35.0,SG,,['SG']
Nikola VuÄeviÄ,9.5,19.9,1.9,2.2,2.5,11.7,3.8,0.9,0.7,1.8,23.4,33.5,70.0,C,,['C']
Nikola VuÄeviÄ,9.9,20.6,2.1,2.5,2.7,11.8,3.8,1.0,0.6,1.9,24.5,34.1,44.0,C,,['C']
Nikola VuÄeviÄ,8.8,18.8,1.5,1.8,2.3,11.5,3.9,0.9,0.8,1.7,21.5,32.6,26.0,C,,['C']
Paul George,8.2,17.6,3.7,4.2,3.2,6.6,5.2,1.1,0.4,3.3,23.3,33.7,54.0,SF,,['SF']
CJ McCollum,8.6,18.8,2.3,2.8,3.6,3.9,4.7,0.9,0.4,1.4,23.1,34.0,47.0,SG,,['SG']
Jerami Grant,7.4,17.3,5.4,6.4,2.1,4.6,2.8,0.6,1.1,2.0,22.3,33.9,54.0,SF,,['SF']
Russell Westbrook,8.4,19.0,4.2,6.4,1.3,11.5,11.7,1.4,0.4,4.8,22.2,36.4,65.0,PG,,['PG']
Anthony Davis,8.4,17.0,4.4,5.9,0.7,7.9,3.1,1.3,1.6,2.1,21.8,32.3,36.0,PF,,['PF']
DeMar DeRozan,7.5,15.1,6.3,7.2,0.3,4.2,6.9,0.9,0.2,2.0,21.6,33.7,61.0,PF,,['PF']
Jimmy Butler,7.0,14.2,6.9,8.0,0.5,6.9,7.1,2.1,0.3,2.1,21.5,33.6,52.0,SF,,['SF']
Pascal Siakam,7.8,17.2,4.4,5.4,1.3,7.2,4.5,1.1,0.7,2.3,21.4,35.8,56.0,PF,,['PF']
Malcolm Brogdon,7.9,17.5,2.7,3.2,2.6,5.3,5.9,0.9,0.3,2.1,21.2,34.5,56.0,PG,,['PG']
Jamal Murray,7.9,16.5,2.8,3.2,2.7,4.0,4.8,1.3,0.3,2.3,21.2,35.5,48.0,PG,,['PG']
Christian Wood,8.0,15.6,3.0,4.8,1.9,9.6,1.7,0.8,1.2,2.0,21.0,32.3,41.0,C,,['C']
John Wall,7.3,18.2,4.0,5.3,2.0,3.2,6.9,1.1,0.8,3.5,20.6,32.2,40.0,PG,,['PG']
Khris Middleton,7.5,15.8,3.1,3.5,2.2,6.0,5.4,1.1,0.1,2.6,20.4,33.4,68.0,SF,,['SF']
Terry Rozier,7.4,16.4,2.4,2.9,3.2,4.4,4.2,1.3,0.4,1.9,20.4,34.5,69.0,SG,,['SG']
Domantas Sabonis,7.8,14.6,3.9,5.3,0.8,12.0,6.7,1.2,0.5,3.4,20.3,36.0,62.0,PF,,['PF']
Caris LeVert,7.6,17.3,3.1,3.8,1.8,4.6,5.2,1.4,0.6,2.2,20.2,31.6,47.0,SG,,['SG']
Caris LeVert,7.3,16.7,2.2,2.8,1.8,4.3,6.0,1.1,0.5,2.2,18.5,27.8,12.0,SG,,['SG']
Caris LeVert,7.8,17.5,3.4,4.2,1.8,4.6,4.9,1.5,0.7,2.2,20.7,32.9,35.0,SG,,['SG']
Kristaps PorziÅÄ£is,7.6,15.9,2.7,3.2,2.3,8.9,1.6,0.5,1.3,1.2,20.1,30.9,43.0,C,,['C']
Victor Oladipo,7.1,17.5,3.2,4.2,2.4,4.8,4.6,1.4,0.4,2.5,19.8,32.7,33.0,SG,,['SG']
Victor Oladipo,7.1,16.9,3.0,4.1,2.8,5.7,4.2,1.7,0.2,2.0,20.0,33.3,9.0,SG,,['SG']
Victor Oladipo,7.8,19.1,3.3,4.2,2.5,4.8,5.0,1.2,0.5,2.6,21.2,33.5,20.0,SG,,['SG']
Victor Oladipo,4.0,10.8,3.0,4.5,1.0,3.5,3.5,1.8,0.5,3.5,12.0,27.8,4.0,SG,,['SG']
Malik Beasley,7.1,16.2,1.8,2.2,3.5,4.4,2.4,0.8,0.2,1.6,19.6,32.8,37.0,SG,,['SG']
Gordon Hayward,7.1,15.0,3.5,4.2,1.9,5.9,4.1,1.2,0.3,2.1,19.6,34.0,44.0,SF,,['SF']
Fred VanVleet,6.5,16.7,3.3,3.7,3.3,4.2,6.3,1.7,0.7,1.8,19.6,36.5,52.0,SG,,['SG']
Tobias Harris,7.6,14.9,2.9,3.3,1.3,6.8,3.5,0.9,0.8,1.7,19.5,32.5,62.0,PF,,['PF']
Anthony Edwards,7.0,16.8,2.9,3.8,2.4,4.7,2.9,1.1,0.5,2.2,19.3,32.1,72.0,SG,,['SG']
Kemba Walker,6.6,15.7,3.1,3.5,3.0,4.0,4.9,1.1,0.3,2.0,19.3,31.8,43.0,PG,,['PG']
Ja Morant,6.8,15.2,4.3,5.9,1.2,4.0,7.4,0.9,0.2,3.2,19.1,32.6,63.0,PG,,['PG']
Michael Porter Jr.,7.3,13.4,1.7,2.2,2.8,7.3,1.1,0.7,0.9,1.3,19.0,31.3,61.0,SF,,['SF']
D'Angelo Russell,6.7,15.5,2.7,3.5,2.9,2.6,5.8,1.1,0.4,2.7,19.0,28.5,42.0,PG,,['PG']
Bam Adebayo,7.1,12.5,4.4,5.5,0.0,9.0,5.4,1.2,1.0,2.6,18.7,33.5,64.0,C,,['C']
Norman Powell,6.3,13.3,3.4,3.9,2.5,3.1,1.9,1.2,0.3,1.7,18.6,32.0,69.0,SG,,['SG']
Norman Powell,6.7,13.5,3.4,3.9,2.8,3.0,1.8,1.1,0.2,1.8,19.6,30.4,42.0,SG,,['SG']
Norman Powell,5.8,13.0,3.5,4.0,2.0,3.3,1.9,1.3,0.4,1.6,17.0,34.4,27.0,SF,,['SF']
Andrew Wiggins,7.1,14.9,2.4,3.4,2.0,4.9,2.4,0.9,1.0,1.8,18.6,33.3,71.0,PF,,['PF']
Jordan Clarkson,6.7,15.8,1.9,2.1,3.1,4.0,2.5,0.9,0.1,1.7,18.4,26.7,68.0,SG,,['SG']
Eric Gordon,5.9,13.6,3.5,4.2,2.6,2.1,2.6,0.5,0.5,1.9,17.8,29.2,27.0,SG,,['SG']
Jrue Holiday,7.0,13.9,1.8,2.3,1.9,4.5,6.1,1.6,0.6,2.2,17.7,32.3,59.0,PG,,['PG']
RJ Barrett,6.5,14.7,2.9,3.8,1.7,5.8,3.0,0.7,0.3,1.9,17.6,34.9,72.0,SG,,['SG']
John Collins,6.8,12.2,2.7,3.2,1.3,7.4,1.2,0.5,1.0,1.3,17.6,29.3,63.0,PF,,['PF']
Darius Garland,6.7,14.9,2.1,2.4,1.9,2.4,6.1,1.2,0.1,3.0,17.4,33.1,54.0,PG,,['PG']
Dillon Brooks,6.4,15.4,2.4,2.9,1.9,2.9,2.3,1.2,0.4,1.8,17.2,29.8,67.0,SF,,['SF']
Kyle Lowry,5.7,13.0,3.0,3.5,2.8,5.4,7.3,1.0,0.3,2.7,17.2,34.8,46.0,PG,,['PG']
Evan Fournier,5.9,12.9,2.6,3.3,2.8,3.0,3.4,1.1,0.5,1.7,17.1,30.0,42.0,SF,,['SF']
Evan Fournier,6.5,14.2,3.8,4.7,2.8,2.9,3.7,1.0,0.3,2.1,19.7,30.3,26.0,SF,,['SF']
Evan Fournier,4.8,10.8,0.6,0.9,2.8,3.3,3.1,1.3,0.6,1.2,13.0,29.5,16.0,SF,,['SF']
Jonas ValanÄiÅ«nas,7.1,12.0,2.5,3.3,0.3,12.5,1.8,0.6,0.9,1.6,17.1,28.3,62.0,C,,['C']
Bojan BogdanoviÄ,5.6,12.8,3.2,3.7,2.5,3.9,1.9,0.6,0.1,1.8,17.0,30.8,72.0,SF,,['SF']
Tim Hardaway Jr.,5.8,13.0,2.0,2.5,3.0,3.3,1.8,0.4,0.2,0.9,16.6,28.4,70.0,SG,,['SG']
Buddy Hield,5.7,14.0,1.2,1.5,4.0,4.7,3.6,0.9,0.4,1.8,16.6,34.3,71.0,SG,,['SG']
Kevin Porter Jr.,6.0,14.1,2.7,3.6,1.9,3.8,6.3,0.7,0.3,3.5,16.6,32.1,26.0,SG,,['SG']
Bogdan BogdanoviÄ,6.1,12.8,0.9,1.0,3.3,3.6,3.3,1.1,0.3,1.2,16.4,29.7,44.0,SG,,['SG']
Chris Paul,6.3,12.6,2.4,2.6,1.5,4.5,8.9,1.4,0.3,2.2,16.4,31.4,70.0,PG,,['PG']
Khyri Thomas,6.4,13.2,1.8,1.8,1.8,3.6,5.0,1.8,1.2,1.2,16.4,30.6,5.0,SG,,['SG']
Mike Conley,5.6,12.5,2.4,2.8,2.7,3.5,6.0,1.4,0.2,1.9,16.2,29.4,51.0,PG,,['PG']
Harrison Barnes,5.5,11.1,3.4,4.1,1.7,6.6,3.5,0.7,0.2,1.6,16.1,36.2,58.0,PF,,['PF']
Elijah Bryant,6.0,13.0,3.0,3.0,1.0,6.0,3.0,0.0,1.0,4.0,16.0,32.0,1.0,SG,,['SG']
OG Anunoby,5.8,12.1,1.9,2.4,2.4,5.5,2.2,1.5,0.7,1.7,15.9,33.3,43.0,SF,,['SF']
LaMelo Ball,5.7,13.2,2.5,3.2,1.8,5.9,6.1,1.6,0.4,2.8,15.7,28.8,51.0,PG,,['PG']
Dejounte Murray,6.6,14.5,1.6,2.0,0.9,7.1,5.4,1.5,0.1,1.7,15.7,31.9,67.0,PG,,['PG']
Terrence Ross,5.5,13.4,2.6,3.0,1.9,3.4,2.3,1.0,0.5,1.6,15.6,29.3,46.0,SG,,['SG']
T.J. Warren,6.8,12.8,2.0,2.5,0.0,3.5,1.3,0.5,0.0,1.0,15.5,29.3,4.0,SF,,['SF']
Kelly Oubre Jr.,5.8,13.2,2.2,3.2,1.6,6.0,1.3,1.0,0.8,1.3,15.4,30.7,55.0,SF,,['SF']
Dennis SchrÃ¶der,5.4,12.5,3.4,4.0,1.2,3.5,5.8,1.1,0.2,2.7,15.4,32.1,61.0,SG,,['SG']
Derrick White,5.2,12.6,2.7,3.2,2.3,3.0,3.5,0.7,1.0,1.3,15.4,29.6,36.0,SG,,['SG']
Gary Trent Jr.,5.5,13.5,1.4,1.8,2.8,2.6,1.4,1.0,0.2,0.7,15.3,31.1,58.0,SG,,['SG']
Gary Trent Jr.,5.3,12.8,1.4,1.8,3.0,2.2,1.4,0.9,0.1,0.8,15.0,30.8,41.0,SG,,['SG']
Gary Trent Jr.,6.1,15.4,1.5,1.8,2.6,3.6,1.3,1.1,0.2,0.7,16.2,31.8,17.0,SG,,['SG']
Clint Capela,6.6,11.0,2.1,3.6,0.0,14.3,0.8,0.7,2.0,1.2,15.2,30.1,63.0,C,,['C']
Tyler Herro,5.7,12.9,1.7,2.2,2.0,5.0,3.4,0.6,0.3,1.9,15.1,30.3,54.0,SG,,['SG']
Coby White,5.4,13.1,1.9,2.1,2.4,4.1,4.8,0.6,0.2,2.3,15.1,31.2,69.0,PG,,['PG']
De'Andre Hunter,5.2,10.8,3.2,3.7,1.3,4.8,1.9,0.8,0.5,1.3,15.0,29.5,23.0,SF,,['SF']
Andre Drummond,6.1,12.4,2.7,4.5,0.0,12.0,2.0,1.4,1.1,2.7,14.9,27.0,46.0,C,,['C']
Andre Drummond,7.2,15.2,3.1,5.2,0.0,13.5,2.6,1.6,1.2,3.2,17.5,28.9,25.0,C,,['C']
Andre Drummond,4.9,9.1,2.2,3.6,0.0,10.2,1.4,1.1,1.0,2.0,11.9,24.8,21.0,C,,['C']
Devonte' Graham,4.6,12.2,2.4,2.9,3.3,2.7,5.4,0.9,0.1,1.5,14.8,30.2,55.0,PG,,['PG']
Derrick Rose,5.7,12.2,2.2,2.5,1.0,2.6,4.2,1.0,0.4,1.6,14.7,25.6,50.0,PG,,['PG']
Derrick Rose,5.3,12.3,2.8,3.3,0.9,1.9,4.2,1.2,0.3,1.9,14.2,22.8,15.0,PG,,['PG']
Derrick Rose,5.9,12.2,1.9,2.2,1.1,2.9,4.2,0.9,0.4,1.4,14.9,26.8,35.0,PG,,['PG']
Lonzo Ball,5.3,12.7,0.9,1.2,3.1,4.8,5.7,1.5,0.6,2.2,14.6,31.8,55.0,PG,,['PG']
Kendrick Nunn,5.7,11.8,1.0,1.1,2.2,3.2,2.6,0.9,0.3,1.4,14.6,29.5,56.0,PG,,['PG']
Deandre Ayton,6.2,10.0,1.9,2.5,0.1,10.5,1.4,0.6,1.2,1.5,14.4,30.7,69.0,C,,['C']
Jaren Jackson Jr.,4.8,11.4,3.2,3.8,1.5,5.6,1.1,1.1,1.6,1.4,14.4,23.5,11.0,C,,['C']
Thomas Bryant,5.9,9.1,1.6,2.4,0.9,6.1,1.5,0.4,0.8,1.1,14.3,27.1,10.0,C,,['C']
Rudy Gobert,5.5,8.2,3.3,5.3,0.0,13.5,1.3,0.6,2.7,1.7,14.3,30.8,71.0,C,,['C']
Ben Simmons,5.6,10.1,3.0,4.9,0.1,7.2,6.9,1.6,0.6,3.0,14.3,32.4,58.0,PG,,['PG']
Richaun Holmes,6.0,9.4,2.2,2.8,0.0,8.3,1.7,0.6,1.6,1.2,14.2,29.2,61.0,C,,['C']
Al Horford,5.8,12.9,0.6,0.8,2.0,6.7,3.4,0.9,0.9,1.0,14.2,27.9,28.0,C,,['C']
Marvin Bagley,5.7,11.4,1.8,3.1,0.9,7.4,1.0,0.5,0.5,1.4,14.1,25.9,43.0,PF,,['PF']
Joe Harris,5.2,10.2,0.7,0.9,3.1,3.6,1.9,0.7,0.2,0.9,14.1,31.0,69.0,SF,,['SF']
Luguentz Dort,4.8,12.3,2.3,3.2,2.2,3.6,1.7,0.9,0.4,1.5,14.0,29.7,52.0,SG,,['SG']
Rui Hachimura,5.4,11.4,2.2,2.8,0.8,5.5,1.4,0.8,0.1,1.2,13.8,31.5,57.0,PF,,['PF']
Darius Bazley,5.0,12.5,2.3,3.2,1.5,7.2,1.8,0.5,0.5,2.2,13.7,31.2,55.0,PF,,['PF']
Chris Boucher,4.8,9.3,2.5,3.2,1.5,6.7,1.1,0.6,1.9,0.8,13.6,24.2,60.0,C,,['C']
Lauri Markkanen,4.9,10.2,1.5,1.8,2.3,5.3,0.9,0.5,0.3,1.0,13.6,25.8,51.0,PF,,['PF']
Doug McDermott,5.4,10.1,1.2,1.5,1.7,3.3,1.3,0.3,0.1,0.8,13.6,24.5,66.0,PF,,['PF']
Kelly Olynyk,4.8,10.0,2.1,2.5,1.8,7.0,2.9,1.1,0.6,1.8,13.5,28.5,70.0,PF,,['PF']
Kelly Olynyk,3.8,8.7,0.7,0.9,1.8,6.1,2.1,0.9,0.6,1.3,10.0,26.9,43.0,C,,['C']
Kelly Olynyk,6.5,11.9,4.2,5.0,1.8,8.4,4.1,1.4,0.6,2.6,19.0,31.1,27.0,PF,,['PF']
LaMarcus Aldridge,5.4,11.4,1.6,1.8,1.2,4.5,1.9,0.4,1.1,1.0,13.5,25.9,26.0,C,,['C']
LaMarcus Aldridge,5.5,11.8,1.5,1.8,1.3,4.5,1.7,0.4,0.9,1.0,13.7,25.9,21.0,C,,['C']
LaMarcus Aldridge,5.0,9.6,2.0,2.0,0.8,4.8,2.6,0.6,2.2,1.4,12.8,26.0,5.0,C,,['C']
Mikal Bridges,5.0,9.3,1.5,1.8,1.9,4.3,2.1,1.1,0.9,0.8,13.5,32.6,72.0,SF,,['SF']
Montrezl Harrell,5.4,8.7,2.6,3.7,0.0,6.2,1.1,0.7,0.7,1.1,13.5,22.9,69.0,C,,['C']
Carmelo Anthony,4.7,11.3,2.0,2.2,1.9,3.1,1.5,0.7,0.6,0.9,13.4,24.5,69.0,PF,,['PF']
Goran DragiÄ,4.8,11.1,2.0,2.4,1.8,3.4,4.4,0.7,0.2,2.4,13.4,26.7,50.0,PG,,['PG']
Josh Jackson,4.8,11.4,2.6,3.5,1.2,4.1,2.3,0.9,0.8,2.3,13.4,25.2,62.0,SG,,['SG']
Marcus Morris,4.8,10.2,1.3,1.6,2.5,4.1,1.0,0.6,0.3,1.0,13.4,26.4,57.0,PF,,['PF']
Danilo Gallinari,4.0,9.3,3.2,3.4,2.0,4.1,1.5,0.6,0.2,0.8,13.3,24.0,51.0,PF,,['PF']
Duncan Robinson,4.4,10.0,0.9,1.0,3.5,3.5,1.8,0.6,0.3,1.1,13.1,31.4,72.0,SF,,['SF']
Marcus Smart,4.2,10.6,2.7,3.4,1.9,3.5,5.7,1.5,0.5,2.0,13.1,32.9,48.0,PG,,['PG']
Tyrese Haliburton,5.0,10.7,0.8,1.0,2.1,3.0,5.3,1.3,0.5,1.6,13.0,30.1,58.0,PG,,['PG']
Shake Milton,4.8,10.6,2.3,2.8,1.1,2.3,3.1,0.6,0.3,1.6,13.0,23.2,63.0,SG,,['SG']
Cole Anthony,4.7,11.7,2.3,2.8,1.2,4.7,4.1,0.6,0.4,2.3,12.9,27.1,47.0,PG,,['PG']
Markelle Fultz,5.1,13.0,2.1,2.4,0.5,3.1,5.4,1.0,0.3,2.3,12.9,26.9,8.0,PG,,['PG']
Kyle Kuzma,4.9,11.1,1.0,1.4,2.0,6.1,1.9,0.5,0.6,1.7,12.9,28.7,68.0,SF,,['SF']
P.J. Washington,4.7,10.7,1.7,2.3,1.8,6.5,2.5,1.1,1.2,2.0,12.9,30.5,64.0,PF,,['PF']
Jarrett Allen,4.7,7.7,3.2,4.6,0.1,10.0,1.7,0.5,1.4,1.6,12.8,29.6,63.0,C,,['C']
Jarrett Allen,3.7,5.4,3.8,5.1,0.0,10.4,1.7,0.6,1.6,1.8,11.2,26.7,12.0,C,,['C']
Jarrett Allen,5.0,8.2,3.1,4.5,0.1,9.9,1.7,0.5,1.4,1.5,13.2,30.3,51.0,C,,['C']
Keldon Johnson,4.9,10.2,2.1,2.8,0.9,6.0,1.8,0.6,0.3,1.1,12.8,28.5,69.0,SF,,['SF']
Will Barton,4.6,10.9,1.7,2.2,1.8,4.0,3.2,0.9,0.4,1.7,12.7,31.0,56.0,SF,,['SF']
Miles Bridges,4.7,9.4,1.5,1.7,1.8,6.0,2.2,0.7,0.8,1.6,12.7,29.3,66.0,PF,,['PF']
Alec Burks,4.3,10.2,2.1,2.4,2.1,4.6,2.2,0.6,0.3,1.0,12.7,25.6,49.0,SG,,['SG']
Jalen Brunson,4.8,9.2,1.8,2.2,1.2,3.4,3.5,0.5,0.0,1.2,12.6,25.0,68.0,PG,,['PG']
Myles Turner,4.4,9.2,2.4,3.0,1.5,6.5,1.0,0.9,3.4,1.4,12.6,31.0,47.0,C,,['C']
Seth Curry,4.5,9.7,1.2,1.4,2.2,2.4,2.7,0.8,0.1,1.1,12.5,28.7,57.0,SG,,['SG']
Aaron Gordon,4.6,10.0,1.9,3.0,1.2,5.7,3.2,0.7,0.7,1.9,12.4,27.7,50.0,PF,,['PF']
Aaron Gordon,5.1,11.7,2.6,4.2,1.7,6.6,4.2,0.6,0.8,2.7,14.6,29.4,25.0,PF,,['PF']
Aaron Gordon,4.1,8.2,1.2,1.8,0.7,4.7,2.2,0.7,0.6,1.2,10.2,25.9,25.0,PF,,['PF']
Kyle Anderson,4.5,9.5,2.1,2.7,1.4,5.7,3.6,1.2,0.8,1.2,12.4,27.3,69.0,PF,,['PF']
Brook Lopez,4.6,9.1,1.7,2.0,1.4,5.0,0.7,0.6,1.5,0.9,12.3,27.2,70.0,C,,['C']
Saddiq Bey,4.0,9.9,1.8,2.1,2.5,4.5,1.4,0.7,0.2,0.9,12.2,27.3,70.0,SF,,['SF']
Eric Bledsoe,4.3,10.3,1.9,2.7,1.7,3.4,3.8,0.8,0.3,1.6,12.2,29.7,71.0,SG,,['SG']
Kevin Love,4.1,10.1,1.7,2.0,2.3,7.4,2.5,0.6,0.1,1.5,12.2,24.9,25.0,PF,,['PF']
Joe Ingles,4.1,8.4,1.1,1.3,2.7,3.6,4.7,0.7,0.2,1.7,12.1,27.9,67.0,SF,,['SF']
Josh Richardson,4.5,10.5,1.7,1.8,1.5,3.3,2.6,1.0,0.4,1.3,12.1,30.3,59.0,SG,,['SG']
Thaddeus Young,5.4,9.7,1.0,1.7,0.2,6.2,4.3,1.1,0.6,2.0,12.1,24.3,68.0,PF,,['PF']
Jordan Poole,4.0,9.3,2.1,2.3,1.9,1.8,1.9,0.5,0.2,1.0,12.0,19.4,51.0,SG,,['SG']
Kevin Huerter,4.6,10.6,0.7,0.9,2.0,3.3,3.5,1.2,0.3,1.1,11.9,30.8,69.0,SG,,['SG']
